sentence	sentence_source	is_praeteritum	wallis_path	wallis_client_id	wallis_dit_transcript	wallis_dat_transcript	zurich_path	zurich_client_id	zurich_dit_transcript	zurich_dat_transcript
Doch auch fast die Hälfte der Väter hegt diesen Wunsch.	news_finan	False	datasets/STT4SG-350 v2.1/clips__test/20c8300d-7fba-441e-9062-ad5046c311f7/efc1d2dec02b1fc474d096cad57bb83357c5aade64d32f4c268cc455b32df451.mp3	0b890339-031a-43ef-bc2e-5e8b5ac5e613	Fast die Hälfte der Väter haben diesen Wunsch.	Doch auch fast die Hälfte der Väter habe diesen Wunsch.	datasets/STT4SG-350 v2.1/clips__test/6d34bfbb-2de2-48d9-891d-ae216f9b347b/efc1d2dec02b1fc474d096cad57bb83357c5aade64d32f4c268cc455b32df451.mp3	6d34bfbb-2de2-48d9-891d-ae216f9b347b	Doch auch fast die Hälfte der Väter hegt diesen Wunsch.	Aber auch fast die Hälfte der Väter habe diesen Wunsch.
Sie würde beispielsweise an Joseph Goebbels erinnern.	news_every	True	datasets/STT4SG-350 v2.1/clips__test/0b890339-031a-43ef-bc2e-5e8b5ac5e613/d6e3b62512920b0023fcebe398a3a2561c7789f47c349a51d1f282151e6f7279.mp3	0b890339-031a-43ef-bc2e-5e8b5ac5e613	Sie würde beispielsweise an Josef Goebbels erinnern.	Sie werden beispielsweise an Joseph Goebbels erinnert.	datasets/STT4SG-350 v2.1/clips__test/4ee1811c-9884-4261-99cb-2f7346c8ea6e/d6e3b62512920b0023fcebe398a3a2561c7789f47c349a51d1f282151e6f7279.mp3	4ee1811c-9884-4261-99cb-2f7346c8ea6e	Sie wird beispielsweise an Josef Goebbels erinnern.	Sie würde beispielsweise an Josef Googles erinnern.
Die blauen Flecken sah unter den Kleidern niemand.	news_every	True	datasets/STT4SG-350 v2.1/clips__test/fd653920-0aa9-4f5f-8fe3-1da4d2f65f84/919760af8ea2cf4f30ceac657e945c58a7ef07adf7beaeb8524e39781f58c9e5.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Die blauen Flecken hat unter dem Kleid niemand gesehen.	Die blauen Flecken sind unter dem Kleid niemand.	datasets/STT4SG-350 v2.1/clips__test/3e7e3ad6-938d-40fa-9787-2e9f8c529a66/919760af8ea2cf4f30ceac657e945c58a7ef07adf7beaeb8524e39781f58c9e5.mp3	3e7e3ad6-938d-40fa-9787-2e9f8c529a66	Die blauen Flecken hat unserer Kleider niemand gesehen.	Die blauen Flecken hat unter den Kleidern niemand gesehen.
Das Food Zurich läuft noch bis zum 1. November.	news_switz	False	datasets/STT4SG-350 v2.1/clips__test/3a231070-4b09-40eb-a319-1f3ed4e61ad9/a6a1c33392bb898dfdd6811c4224b93811b89b86fb67eaf7590527642c9d3b98.mp3	3a231070-4b09-40eb-a319-1f3ed4e61ad9	Das FU Zürich läuft nur bis im 1. November.	"Das Food Zürich läuft noch bis zum 1.
November."	datasets/STT4SG-350 v2.1/clips__test/4ee1811c-9884-4261-99cb-2f7346c8ea6e/a6a1c33392bb898dfdd6811c4224b93811b89b86fb67eaf7590527642c9d3b98.mp3	4ee1811c-9884-4261-99cb-2f7346c8ea6e	Das FU Zürich läuft noch bis zum 1. November.	"Das Food Zürich geht noch bis zum 1.
November."
Mittlerweile hat Evans den Post gelöscht.	news_switz	False	datasets/STT4SG-350 v2.1/clips__test/503f5993-40fc-4547-a9c7-9f7d62b8f2a0/757e1b4310de42e9ddb67b4df97de9795ea23d55767eb44074169809114f0116.mp3	503f5993-40fc-4547-a9c7-9f7d62b8f2a0	Mittlerweile hat Evans den Post gelöscht.	Mittlerweile hat Evans den Post gelöscht.	datasets/STT4SG-350 v2.1/clips__test/e1e57a5e-0e2c-4532-b8d0-1b2a2dc476a4/757e1b4310de42e9ddb67b4df97de9795ea23d55767eb44074169809114f0116.mp3	e1e57a5e-0e2c-4532-b8d0-1b2a2dc476a4	Mittlerweile hat Evans den Post gelöscht.	Mittlerweile hat Evans die Post gelöscht.
Nochmals allen Mitwirkenden vielen Dank.	parliament	False	datasets/STT4SG-350 v2.1/clips__test/a1859917-0a13-49e8-aa92-77ac5cb5151e/80c02907ae7badf8bb973f0e4a4dc8a8648e95a145c05935dd22c4d789e3ca3e.mp3	a1859917-0a13-49e8-aa92-77ac5cb5151e	Nun mal alle mitwirkenden Filter an.	Nochmals allen Mitwirkenden vielen Dank.	datasets/STT4SG-350 v2.1/clips__test/9864e0a2-eda0-48fe-97a7-65bc07cbb944/80c02907ae7badf8bb973f0e4a4dc8a8648e95a145c05935dd22c4d789e3ca3e.mp3	9864e0a2-eda0-48fe-97a7-65bc07cbb944	Nochmal allen Mitwirkenden vielen Dank.	Nochmals allen Mitwirkenden vielen Dank.
Dies dürfe jedoch nicht ohne Bedingungen passieren.	news_finan	False	datasets/STT4SG-350 v2.1/clips__test/0b890339-031a-43ef-bc2e-5e8b5ac5e613/4438627e6eb8e3c43e6b7af05504cbe87623a3bb5aa20faf8e1a101b30c72ab9.mp3	0b890339-031a-43ef-bc2e-5e8b5ac5e613	Dies darf jedoch nicht ohne Bedingung passieren.	Das dürfte aber nicht ohne Bedingungen geschehen.	datasets/STT4SG-350 v2.1/clips__test/9864e0a2-eda0-48fe-97a7-65bc07cbb944/4438627e6eb8e3c43e6b7af05504cbe87623a3bb5aa20faf8e1a101b30c72ab9.mp3	9864e0a2-eda0-48fe-97a7-65bc07cbb944	Das dürfte jedoch nicht ohne Bedingungen passieren.	Das darf jedoch nicht ohne Bedingungen geschehen.
Das ist per se Standortförderung und eine Attraktivitätssteigerung.	parliament	False	datasets/STT4SG-350 v2.1/clips__test/50e4a935-c887-4c38-aff2-6286aab725d1/3a93a41536103cfd0bda60873c97513858d84c09cac1dd6f076be6a920691958.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Das ist per se eine Standortförderung und eine Attraktivitätssteigerung.	Das ist per se Standortförderung und eine Attraktivitätssteigerung.	datasets/STT4SG-350 v2.1/clips__test/9a9554dd-3ee4-4997-82e6-1d78e0ca3d7f/3a93a41536103cfd0bda60873c97513858d84c09cac1dd6f076be6a920691958.mp3	9a9554dd-3ee4-4997-82e6-1d78e0ca3d7f	Das ist per se Standortförderung und keine Attraktivitätssteigerung.	Das ist per se Standortförderung und eine Attraktivitätssteigerung.
Er hat aber nur noch eine Million Euro im Safe.	news_inter	False	datasets/STT4SG-350 v2.1/clips__test/50e4a935-c887-4c38-aff2-6286aab725d1/509860fd50e8babef940ccefb66009ebdbc8347d92eb7da44ef094cf51739513.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Arbeit abonnieren und 1 Mio. Euro im Save.	Es hat nur noch eine Million Euro im See.	datasets/STT4SG-350 v2.1/clips__test/9864e0a2-eda0-48fe-97a7-65bc07cbb944/509860fd50e8babef940ccefb66009ebdbc8347d92eb7da44ef094cf51739513.mp3	9864e0a2-eda0-48fe-97a7-65bc07cbb944	Er hat aber nur noch 1 Mio. Euro im Safe.	Es hat nur noch eine Million Euro im See.
Ich stelle Ihnen kurz die Bemerkungen der SP-Fraktion vor.	parliament	False	datasets/STT4SG-350 v2.1/clips__test/fd653920-0aa9-4f5f-8fe3-1da4d2f65f84/8e35a5bb3f55507da084f82395b802f98d021f0f833b1824de5ac115f82877e3.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Ich stelle auch kurz Bemerkungen der SP-Fraktion vor.	Ich stelle auch kurz Bemerkungen der SP-Fraktion vor.	datasets/STT4SG-350 v2.1/clips__test/2b08c635-ccf7-42a3-ae38-c7e57b3eb8ed/8e35a5bb3f55507da084f82395b802f98d021f0f833b1824de5ac115f82877e3.mp3	2b08c635-ccf7-42a3-ae38-c7e57b3eb8ed	Ich stelle Ihnen kurz die Bemerkungen der SP-Fraktion vor.	Ich stelle auch kurz Bemerkungen der SP-Fraktion vor.
Der Mazda MX-5 feiert seinen 25. Geburtstag!	news_tech	False	datasets/STT4SG-350 v2.1/clips__test/503f5993-40fc-4547-a9c7-9f7d62b8f2a0/930de885a6d541c9af6dd9eb987f6501e8138ffbf78219ef045d4fec8b50667e.mp3	503f5993-40fc-4547-a9c7-9f7d62b8f2a0	Der Mazda MX-5 4 hat seinen 25. Geburtstag.	"Mazda Mx-5 feiert seinen 25.
Geburtstag."	datasets/STT4SG-350 v2.1/clips__test/3e7e3ad6-938d-40fa-9787-2e9f8c529a66/930de885a6d541c9af6dd9eb987f6501e8138ffbf78219ef045d4fec8b50667e.mp3	3e7e3ad6-938d-40fa-9787-2e9f8c529a66	Der Mazda MX-5 viert seine 25 Jahre Geburt.	Mazda Mx-5 wird 25.
Der Sieg beim holländischen Klassiker ist der grösste Erfolg seiner Karriere.	news_sport	False	datasets/STT4SG-350 v2.1/clips__test/fb1b67be-8d8f-47bb-b15c-ee1138f0d4ac/b73016a8d02d7c55d135068555f019b40e5ec0d843c85e3d7da9616ba9079384.mp3	fb1b67be-8d8f-47bb-b15c-ee1138f0d4ac	Der Sieg beim holländischen Klassiker ist der grösste Erfolg seiner Karriere.	Der Sieg beim holländischen Klassiker ist der grösste Erfolg seiner Karriere.	datasets/STT4SG-350 v2.1/clips__test/2b08c635-ccf7-42a3-ae38-c7e57b3eb8ed/b73016a8d02d7c55d135068555f019b40e5ec0d843c85e3d7da9616ba9079384.mp3	2b08c635-ccf7-42a3-ae38-c7e57b3eb8ed	Der Sieg beim holländischen Klassiker ist der grösste Erfolg seiner Karriere.	Der Sieg beim holländischen Klassiker ist der grösste Erfolg seiner Karriere.
Man habe sich in diesem Zusammenhang von keinem Mitarbeiter getrennt.	news_finan	False	datasets/STT4SG-350 v2.1/clips__test/0d54807c-ec46-415f-8ef2-0a2f769aab1a/d8f1a675c6b11f623871013ae17be8f82d437dce32415cf6d46df80927895756.mp3	fb1b67be-8d8f-47bb-b15c-ee1138f0d4ac	Man hat sich in diesem Zusammenhang von keinem Mitarbeiter getrennt.	Man trennte sich in diesem Zusammenhang von keinem Mitarbeiter.	datasets/STT4SG-350 v2.1/clips__test/4ee1811c-9884-4261-99cb-2f7346c8ea6e/d8f1a675c6b11f623871013ae17be8f82d437dce32415cf6d46df80927895756.mp3	4ee1811c-9884-4261-99cb-2f7346c8ea6e	Man hat sich in diesem Zusammenhang von keinen Mitarbeitern getraut.	Man trennte sich in diesem Zusammenhang von keinem Mitarbeiter.
Die Teilnahme am Casting verpflichtet nicht zur Teilnahme an der Miss-Wahl.	news_switz	False	datasets/STT4SG-350 v2.1/clips__test/226c7f4c-0da0-4e94-a873-ad1586107355/6c2a0b9c071658221b3cc739a2681ab6a63487bd87a83d39122da5e203065f48.mp3	226c7f4c-0da0-4e94-a873-ad1586107355	Die Teilnahme am Casting verpflichtet nicht zur Teilnahme an der Misswahl.	Die Teilnahme am Casting verpflichtet nicht zur Teilnahme an der Misswahl.	datasets/STT4SG-350 v2.1/clips__test/9864e0a2-eda0-48fe-97a7-65bc07cbb944/6c2a0b9c071658221b3cc739a2681ab6a63487bd87a83d39122da5e203065f48.mp3	9864e0a2-eda0-48fe-97a7-65bc07cbb944	Die Teilnahme am Casting verpflichtet nicht für die Teilnahme an der Misswahl.	Die Teilnahme am Casting verpflichtet einen nicht zur Teilnahme an der Misswahl.
Die Gruppe kümmert das nicht.	news_scien	False	datasets/STT4SG-350 v2.1/clips__test/0d54807c-ec46-415f-8ef2-0a2f769aab1a/e6fb3eab8a0fc11f8a5ed37814d89cb7d1800be8c39b7b6d3a583103b99accf5.mp3	fb1b67be-8d8f-47bb-b15c-ee1138f0d4ac	Die Gruppe kümmert das nicht.	Die Gruppe kümmert das nicht.	datasets/STT4SG-350 v2.1/clips__test/6d34bfbb-2de2-48d9-891d-ae216f9b347b/e6fb3eab8a0fc11f8a5ed37814d89cb7d1800be8c39b7b6d3a583103b99accf5.mp3	6d34bfbb-2de2-48d9-891d-ae216f9b347b	Die Gruppe kümmert sich um das nicht.	Die Gruppen hören das nicht.
Nach der Kommissionssitzung sind die Anträge teilweise wiederholt worden.	parliament	False	datasets/STT4SG-350 v2.1/clips__test/0b890339-031a-43ef-bc2e-5e8b5ac5e613/c53b0e1440a3f4c13ce0f035f43da2623ea9cea334ae4d430efe4ba5f9c3bb79.mp3	0b890339-031a-43ef-bc2e-5e8b5ac5e613	Nach der Kommissionssitzung sind die Anträge teilweise wiederholt worden.	Nach der Kommissionssitzung wurden die Anträge teilweise wiederholt.	datasets/STT4SG-350 v2.1/clips__test/2b08c635-ccf7-42a3-ae38-c7e57b3eb8ed/c53b0e1440a3f4c13ce0f035f43da2623ea9cea334ae4d430efe4ba5f9c3bb79.mp3	2b08c635-ccf7-42a3-ae38-c7e57b3eb8ed	Nach der Kommissionssitzung sind die Anträge teilweise wiederholt worden.	Nach der Kommissionssitzung wurden die Anträge teilweise wiederholt.
Was muss man sich unter mobilen Bänken vorstellen?	news_switz	False	datasets/STT4SG-350 v2.1/clips__test/503f5993-40fc-4547-a9c7-9f7d62b8f2a0/d5ac3fa58852c3174d5bc2185dcc7bfcabe183d36c694e20b22da15a04043e82.mp3	503f5993-40fc-4547-a9c7-9f7d62b8f2a0	Was müsste man sich unter den mobilen Banken vorstellen?	Was muss man sich unter mobilen Bänken vorstellen?	datasets/STT4SG-350 v2.1/clips__test/4ee1811c-9884-4261-99cb-2f7346c8ea6e/d5ac3fa58852c3174d5bc2185dcc7bfcabe183d36c694e20b22da15a04043e82.mp3	4ee1811c-9884-4261-99cb-2f7346c8ea6e	Was muss man sich unter «mobiler Bank» vorstellen?	Was muss man sich unter mobilen Bänken vorstellen?
Ich verzichte aus Zeitgründen, die ganze Geschichte noch einmal aufzurollen.	parliament	False	datasets/STT4SG-350 v2.1/clips__test/50e4a935-c887-4c38-aff2-6286aab725d1/124988a35a4579c48236718ff90d522db931fe225d2c2a273ce5fda359834fb3.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Ich verzichte auf Zeitgründe, die ganze Geschichte nochmals aufzurollen.	Ich verzichte aus Zeitgründen die ganze Geschichte noch einmal aufzurollen.	datasets/STT4SG-350 v2.1/clips__test/9a9554dd-3ee4-4997-82e6-1d78e0ca3d7f/124988a35a4579c48236718ff90d522db931fe225d2c2a273ce5fda359834fb3.mp3	9a9554dd-3ee4-4997-82e6-1d78e0ca3d7f	Ich verzichte aus Zeitgründen, die ganze Geschichte aufzurollen.	Ich verzichte aus Zeitgründen, die ganze Geschichte noch einmal aufzurollen.
Der Baum scheint bester Gesundheit zu sein.	news_scien	False	datasets/STT4SG-350 v2.1/clips__test/0d54807c-ec46-415f-8ef2-0a2f769aab1a/c6ac2296aa3b50df2dfa80ddb504612911e3f10625ec6aa5deac5ba1996c8bc9.mp3	fb1b67be-8d8f-47bb-b15c-ee1138f0d4ac	Der Bäumschwein päscht der Gesundheit zu Sie.	Der Baum scheint in bester Gesundheit zu sein.	datasets/STT4SG-350 v2.1/clips__test/2b08c635-ccf7-42a3-ae38-c7e57b3eb8ed/c6ac2296aa3b50df2dfa80ddb504612911e3f10625ec6aa5deac5ba1996c8bc9.mp3	2b08c635-ccf7-42a3-ae38-c7e57b3eb8ed	Der Baum scheint bester Gesundheit zu sein.	Der Baum scheint in bester Gesundheit zu sein.
Doch für die Kundschaft ist das Auto trotzdem ein gutes Geschäft.	news_tech	False	datasets/STT4SG-350 v2.1/clips__test/50e4a935-c887-4c38-aff2-6286aab725d1/43f1781b455c54ad0cb7e12625a52034893ee6c379a9797d3a496736b2f0c036.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Doch für die Kundschaft ist das Auto trotzdem ein gutes Geschäft.	Doch für die Kundschaft ist das Auto trotzdem ein gutes Geschäft.	datasets/STT4SG-350 v2.1/clips__test/9a9554dd-3ee4-4997-82e6-1d78e0ca3d7f/43f1781b455c54ad0cb7e12625a52034893ee6c379a9797d3a496736b2f0c036.mp3	9a9554dd-3ee4-4997-82e6-1d78e0ca3d7f	Aber für die Kundschaft ist das Auto trotzdem ein gutes Geschäft.	Doch für die Kundschaft ist das Auto trotzdem ein gutes Geschäft.
1998-2001 waren es Fr. 76'000.--.	parliament	True	datasets/STT4SG-350 v2.1/clips__test/3a231070-4b09-40eb-a319-1f3ed4e61ad9/4ce778dd5e84e8536c59c711249376c00021d78e7e066b54e4ff05bc58b5a738.mp3	3a231070-4b09-40eb-a319-1f3ed4e61ad9	1998 bis 2001 waren es 76'000 Fr.	1998 bis 2001 waren es Franken 76000.	datasets/STT4SG-350 v2.1/clips__test/ce8839ae-3b20-491c-8c33-cef08b4def6e/4ce778dd5e84e8536c59c711249376c00021d78e7e066b54e4ff05bc58b5a738.mp3	ce8839ae-3b20-491c-8c33-cef08b4def6e	1998 bis 2001 waren es 76'000 Franken.	1998 bis 2001 waren es Franken 76000.
Worin fühlen Sie sich persönlich ertappt?	news_cultu	False	datasets/STT4SG-350 v2.1/clips__test/226c7f4c-0da0-4e94-a873-ad1586107355/5d14cd2f18bcae18025d97d25bdf15e4f32f159dcb4d24ba4bfe27a71e0bb506.mp3	226c7f4c-0da0-4e94-a873-ad1586107355	Wo ich fühle, dass ihr auch persönlich ertappt.	Worin fühle sie sich persönlich erkannt?	datasets/STT4SG-350 v2.1/clips__test/e1e57a5e-0e2c-4532-b8d0-1b2a2dc476a4/5d14cd2f18bcae18025d97d25bdf15e4f32f159dcb4d24ba4bfe27a71e0bb506.mp3	e1e57a5e-0e2c-4532-b8d0-1b2a2dc476a4	Worin fühlen Sie sich persönlich ertappt?	Worin fühlen Sie sich persönlich ertappt?
Die Schweizer Handball-Nationalmannschaft steht doch noch in den WM-Playoffs.	news_sport	False	datasets/STT4SG-350 v2.1/clips__test/503f5993-40fc-4547-a9c7-9f7d62b8f2a0/cb8f681bd2948912de12722ebd4971a3755cd3d4360311050d5363829ffa384d.mp3	503f5993-40fc-4547-a9c7-9f7d62b8f2a0	Die Schweizer Handball-Nationalmannschaft steht doch noch in den WM-Playoffs.	Die Schweizer Handball-nazi steht doch noch in den WM-Playoffs.	datasets/STT4SG-350 v2.1/clips__test/8b48025a-2cff-4346-9dab-b45cfb683e22/cb8f681bd2948912de12722ebd4971a3755cd3d4360311050d5363829ffa384d.mp3	8b48025a-2cff-4346-9dab-b45cfb683e22	Die Schweizer Handball-Nationalmannschaft steht doch noch in den WM-Playoffs.	Die Schweizer Handball-nazi steht doch noch in den WM-Playoffs.
Ursprünglich hätten sich Interessierte noch bis am Sonntag melden können.	news_sport	True	datasets/STT4SG-350 v2.1/clips__test/50e4a935-c887-4c38-aff2-6286aab725d1/534d088d035fa8a45064bd94030907beb4ca83d1c7d3425f5fe1a6a20d4017f4.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Ursprünglich konnten sich Interessierte noch bis am Sonntag melden.	Ursprünglich konnten sich Interessierte noch bis am Sonntag melden.	datasets/STT4SG-350 v2.1/clips__test/06f2981e-5362-4daa-828c-cf2f06c15f63/534d088d035fa8a45064bd94030907beb4ca83d1c7d3425f5fe1a6a20d4017f4.mp3	06f2981e-5362-4daa-828c-cf2f06c15f63	Ursprünglich hätten sich Interessierte noch bis am Sonntag melden können.	Ursprünglich hätten sich Interessierte noch bis Sonntag melden können.
Am 23. September stimmt die Schweiz über drei Vorlagen ab.	news_other	False	datasets/STT4SG-350 v2.1/clips__test/20c8300d-7fba-441e-9062-ad5046c311f7/e2cef4336fb0927b37545eeb56b3d6b0b9d437bf2aa772bf367955dbdd781ebd.mp3	0b890339-031a-43ef-bc2e-5e8b5ac5e613	Am 23. September stimmt die Schweiz über drei Vorlagen ab.	"Am 23.
September stimmt die Schweiz über drei Vorlagen ab."	datasets/STT4SG-350 v2.1/clips__test/4ee1811c-9884-4261-99cb-2f7346c8ea6e/e2cef4336fb0927b37545eeb56b3d6b0b9d437bf2aa772bf367955dbdd781ebd.mp3	4ee1811c-9884-4261-99cb-2f7346c8ea6e	Am 23. September sind in der Schweiz über drei Vorlagen.	"Am 23.
September stimmt die Schweiz über drei Vorlagen ab."
Wir hoffen aber schon, dass im Reglement ein wenig mehr steht.	parliament	False	datasets/STT4SG-350 v2.1/clips__test/20c8300d-7fba-441e-9062-ad5046c311f7/e2ce927a87c7367835a6b70762c1d83e4cd5c4d749ae26553e8b9997f9b5d87c.mp3	0b890339-031a-43ef-bc2e-5e8b5ac5e613	Wir hoffen aber schon, dass im Reglement ein bisschen mehr drinsteht.	Wir hoffen aber schon, dass im Reglement etwas mehr steht.	datasets/STT4SG-350 v2.1/clips__test/4ee1811c-9884-4261-99cb-2f7346c8ea6e/e2ce927a87c7367835a6b70762c1d83e4cd5c4d749ae26553e8b9997f9b5d87c.mp3	4ee1811c-9884-4261-99cb-2f7346c8ea6e	Wir hoffen aber schon, dass im Reglement etwas mehr steht.	Wir hoffen aber schon, dass im Reglement ein bisschen mehr steht.
Das Repertoire an diesem Abend aber liess zu wünschen übrig.	news_cultu	True	datasets/STT4SG-350 v2.1/clips__test/50e4a935-c887-4c38-aff2-6286aab725d1/3fbdea6d57334142515ff835befdff48907c4b7b44c35d892dbb5dd884b6f34b.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Die Repertoire an diesem Abend hat das Wünschen übrig gelassen.	Das Repertoire an diesem Abend liess aber zu wünschen übrig.	datasets/STT4SG-350 v2.1/clips__test/9864e0a2-eda0-48fe-97a7-65bc07cbb944/3fbdea6d57334142515ff835befdff48907c4b7b44c35d892dbb5dd884b6f34b.mp3	9864e0a2-eda0-48fe-97a7-65bc07cbb944	Das Repertoire an diesem Abend hat aber das Wünschen übrig gelassen.	Ein Repertoire an diesem Abend aber liess das Wünschen übrig.
Ist das im Sinne von euch allen?	parliament	False	datasets/STT4SG-350 v2.1/clips__test/0d54807c-ec46-415f-8ef2-0a2f769aab1a/e9c5ae0f5b8d623771ea0b27b98fc56bebe932aa65bdeefcfb6b63d6afa70ef5.mp3	fb1b67be-8d8f-47bb-b15c-ee1138f0d4ac	Ist das im Sehen von allen?	Ist das im Sinne von euch allen?	datasets/STT4SG-350 v2.1/clips__test/4ee1811c-9884-4261-99cb-2f7346c8ea6e/e9c5ae0f5b8d623771ea0b27b98fc56bebe932aa65bdeefcfb6b63d6afa70ef5.mp3	4ee1811c-9884-4261-99cb-2f7346c8ea6e	Ist das im Sinn von euch allen?	Ist das im Sinne von euch allen?
Auch innerhalb der Lufthansa-Gruppe schaue man durchaus neidisch nach Zürich.	news_finan	False	datasets/STT4SG-350 v2.1/clips__test/50e4a935-c887-4c38-aff2-6286aab725d1/3f29eaa3cb7f51b8e74a8f51e9257b861856400e096cdae5bc1dd9d876367d60.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Innerhalb der Lufthansa-Gruppe fliegt das Modul nach Zürich.	Auch innerhalb der Lufthansa-gruppe schaut man durchaus neidisch auf Zürich.	datasets/STT4SG-350 v2.1/clips__test/9a9554dd-3ee4-4997-82e6-1d78e0ca3d7f/3f29eaa3cb7f51b8e74a8f51e9257b861856400e096cdae5bc1dd9d876367d60.mp3	9a9554dd-3ee4-4997-82e6-1d78e0ca3d7f	Auch innerhalb der Lufthansa Gruppe schaut man durchaus neidisch auf Zürich.	Auch innerhalb der Lufthansa-gruppe schaut man durchaus neidisch nach Zürich.
